,epoch,loss_train,loss_test,accuracy_train,accuracy_test
0,0.0,0.08854038449525833,0.08665079921007918,0.23421666666666666,0.3694
1,1.0,0.08433098585605621,0.08143528967429274,0.4641,0.5486
2,2.0,0.07816145030657451,0.07420676481276274,0.5840166666666666,0.6239
3,3.0,0.07001497754653295,0.06480301736880796,0.6360666666666667,0.6553
4,4.0,0.06047378120223681,0.05519612730977634,0.6683,0.6954
5,5.0,0.05191995986402035,0.047412458967905455,0.7136333333333333,0.7514
6,6.0,0.04517832562228044,0.04144483717818991,0.7557,0.7799
7,7.0,0.04008626212378343,0.03701425581194532,0.7759,0.7911
8,8.0,0.036196183840930464,0.03344507479427245,0.7877,0.807
9,9.0,0.03284802862058083,0.0302324979789198,0.8126833333333333,0.8399
10,10.0,0.02997081925868988,0.027692667913798708,0.8398166666666667,0.854
11,11.0,0.02773301343123118,0.025713836595701714,0.85235,0.8631
12,12.0,0.025966997830818097,0.024138748196486277,0.85935,0.8702
13,13.0,0.024549593310058116,0.022867317973508147,0.86455,0.8757
14,14.0,0.02339357589210073,0.021825058318037813,0.8694833333333334,0.8785
15,15.0,0.02243527434033652,0.020957619214382845,0.8733,0.8814
16,16.0,0.021628632768119375,0.02022533885950145,0.8766666666666667,0.884
17,17.0,0.020940181158483027,0.01959905791626023,0.8791166666666667,0.8874
18,18.0,0.02034532210963468,0.01905712085781982,0.88145,0.8892
19,19.0,0.01982572809420526,0.018583259376780556,0.8835833333333334,0.8905
20,20.0,0.019367534725057582,0.018165085464715958,0.8852833333333333,0.8918
21,21.0,0.018960091524012387,0.017793045883563854,0.887,0.8941
22,22.0,0.018595094266720118,0.017459668591023443,0.8883833333333333,0.8952
23,23.0,0.01826597162199517,0.017159031567196496,0.8896833333333334,0.8967
24,24.0,0.017967455679178238,0.016886380559671076,0.8906666666666667,0.8971
25,25.0,0.017695270213484764,0.016637851259471793,0.8919166666666667,0.898
26,26.0,0.017445905571058393,0.016410269964740765,0.8931333333333333,0.8984
27,27.0,0.017216453689709307,0.016201004528026943,0.8943666666666666,0.8992
28,28.0,0.01700448292872558,0.01600784999310982,0.8953833333333333,0.9001
29,29.0,0.016807941616202395,0.015828940954160528,0.8961,0.9012
30,30.0,0.01662508858119448,0.015662694065541494,0.8969,0.902
31,31.0,0.016454435282262665,0.015507750965940495,0.8975833333333333,0.9031
32,32.0,0.016294702632911502,0.015362940478538827,0.8981833333333333,0.9037
33,33.0,0.016144785552223522,0.01522725051140246,0.8988666666666667,0.9044
34,34.0,0.016003723830419283,0.01509979756829067,0.89965,0.9048
35,35.0,0.015870680128162108,0.014979809308115887,0.9002666666666667,0.9055
36,36.0,0.015744922265969217,0.014866608897497068,0.9011333333333333,0.9058
37,37.0,0.015625804346116882,0.01475959723752465,0.9019833333333334,0.9064
38,38.0,0.015512758326902985,0.014658244700039388,0.9024,0.9066
39,39.0,0.015405278332997114,0.014562083320274128,0.9029833333333334,0.9063
