	epoch	loss_train	loss_test	accuracy_train	accuracy_test
0	0.0	0.02220290933375557	0.02094361147867105	0.8762666666666666	0.8847
1	1.0	0.021871305150662858	0.02063142904117644	0.8776333333333334	0.8858
2	2.0	0.021565752637883028	0.02034362327655593	0.8786333333333334	0.8869
3	3.0	0.021282986424614986	0.020077190355966074	0.8799	0.8885
4	4.0	0.021020285112410785	0.019829617076056502	0.8809333333333333	0.8891
5	5.0	0.020775360271583002	0.019598781547402015	0.88195	0.8897
6	6.0	0.02054627062380314	0.019382880096838546	0.8828666666666667	0.8903
7	7.0	0.020331360977018872	0.019180370200151644	0.8836166666666667	0.8906
8	8.0	0.020129208839933077	0.0189899233714365	0.8842666666666666	0.8915
9	9.0	0.019938583333666125	0.01881038645742098	0.8850333333333333	0.8921
10	10.0	0.019758413519958655	0.01864075539901424	0.88565	0.8925
11	11.0	0.019587763506546618	0.018480153653187493	0.8865333333333333	0.8932
12	12.0	0.019425813005988796	0.018327806639624907	0.8872166666666667	0.8935
13	13.0	0.019271834007029733	0.018183029855202777	0.88785	0.894
14	14.0	0.01912518349016706	0.018045217820856805	0.8886166666666667	0.8947
15	15.0	0.01898528969027102	0.017913830098353872	0.88915	0.895
16	16.0	0.018851640541727343	0.017788382032484458	0.8896333333333334	0.8954
17	17.0	0.018723776787891985	0.017668439862734902	0.8901	0.8958
18	18.0	0.01860128556403021	0.017553612960840223	0.8904666666666666	0.8973
19	19.0	0.018483795184642077	0.01744354860715794	0.8910333333333333	0.8978
