	epoch	loss_train	loss_test	accuracy_train	accuracy_test
0	0.0	0.015816181052476168	0.014978444694780177	0.9034	0.9085
1	1.0	0.015778218135486046	0.014944055126221201	0.9036333333333333	0.9088
2	2.0	0.01574094789059212	0.014910319183295528	0.9038	0.9088
3	3.0	0.015704349744568268	0.014877218196500307	0.9040166666666667	0.909
4	4.0	0.015668402525099615	0.014844729221417025	0.9042166666666667	0.9091
5	5.0	0.015633086772759756	0.014812835826562306	0.9044833333333333	0.9092
6	6.0	0.015598384574241937	0.014781519397758482	0.9047166666666666	0.9095
7	7.0	0.01556427729371935	0.014750763609337386	0.9048666666666667	0.9098
8	8.0	0.015530748066492378	0.014720551525938144	0.9051166666666667	0.91
9	9.0	0.01549778030284991	0.014690867605929326	0.9053	0.9101
10	10.0	0.015465357701852917	0.014661696012921858	0.9055333333333333	0.9104
11	11.0	0.015433465720899403	0.014633022895631061	0.9057	0.9109
12	12.0	0.01540208951861908	0.014604833507806229	0.9058833333333334	0.9111
13	13.0	0.015371214551789065	0.014577117054715764	0.9060833333333334	0.9115
14	14.0	0.01534082819968462	0.014549859357494177	0.90625	0.9118
15	15.0	0.015310916865741214	0.014523045899838912	0.9063	0.9119
16	16.0	0.015281467682557802	0.014496667277772343	0.9064	0.9121
17	17.0	0.015252468895042936	0.014470711138903553	0.9063666666666667	0.912
18	18.0	0.015223909420644244	0.014445165894607963	0.9064666666666666	0.912
19	19.0	0.015195776945911349	0.014420022569840756	0.9066666666666666	0.9122
